sentence1,sentence2,similarity_score,b_sentence1,b_sentence2,p_sentence1,p_sentence2,sts_ft_score,b_ft_score,p_sts_ft_score
Bolivia's army fought to stop columns of protesters from streaming into the food-starved capital on Wednesday as a popular uprising against the president spread.,"Bolivia's army fought to stop a column of dynamite-wielding miners from streaming into the besieged capital on Wednesday, leaving two dead as a popular uprising against the President spread.",2.8,bolivia s army fought to stop columns of protesters from streaming into the food starved capital on wednesday as a popular uprising against the president spread,bolivia s army fought to stop a column of dynamite wielding miners from streaming into the besieged capital on wednesday leaving two dead as a popular uprising against the president spread,bolivia army fought stop columns protesters streaming food starved capital wednesday popular uprising president spread,bolivia army fought stop column dynamite wielding miners streaming besieged capital wednesday leaving two dead popular uprising president spread,0.97,0.97,0.91
"The A920 comes with a printer, scanner, and copier for $89.","Dell's Personal All-in-One A920 is an entry-level device that combines printer, scanner and copier functions for $89.",3.6,the a comes with a printer scanner and copier for,dell s personal all in one a is an entry level device that combines printer scanner and copier functions for,comes printer scanner copier,dell personal one entry level device combines printer scanner copier functions,0.85,0.89,0.77
"But in the first 30 seconds after Young entered the ring, the family knew it was an uneven match, Meyers said.","But in the first 30 seconds of the bout, family members knew it was an uneven match, Jodie Meyers, Stacy Young's sister, said.",4.2,but in the first seconds after young entered the ring the family knew it was an uneven match meyers said,but in the first seconds of the bout family members knew it was an uneven match jodie meyers stacy young s sister said,first seconds young entered ring family knew uneven match meyers said,first seconds bout family members knew uneven match jodie meyers stacy young sister said,0.95,0.95,0.89
"Singapore reported no suspected SARS cases Wednesday, but officials quarantined 70 people who had contact with the Taiwanese patient.","Still, Singapore quarantined 70 people who had been in close contact with the scientist.",3.0,singapore reported no suspected sars cases wednesday but officials quarantined people who had contact with the taiwanese patient,still singapore quarantined people who had been in close contact with the scientist,singapore reported suspected sars cases wednesday officials quarantined people contact taiwanese patient,still singapore quarantined people close contact scientist,0.89,0.88,0.75
"Downstream at Mount Vernon, the Skagit River was expected to crest at 36 feet -- 8 feet above flood stage -- tonight, Burke said.","The Skagit was expected to crest during the night at 38 feet at Mount Vernon, 10 feet above flood stage, the National Weather Service said.",3.0,downstream at mount vernon the skagit river was expected to crest at feet feet above flood stage tonight burke said,the skagit was expected to crest during the night at feet at mount vernon feet above flood stage the national weather service said,downstream mount vernon skagit river expected crest feet feet flood stage tonight burke said,skagit expected crest night feet mount vernon feet flood stage national weather service said,0.92,0.93,0.91
"On Monday, the Dow declined 5.25, or 0.1 percent, at 8,983.80, having shed 2.3 percent last week.","In early trading, the Dow Jones industrial average was down 39.94, or 0.4 percent, at 8,945.50, having slipped 3.61 points Monday.",1.6,on monday the dow declined or percent at having shed percent last week,in early trading the dow jones industrial average was down or percent at having slipped points monday,monday dow declined percent shed percent last week,early trading dow jones industrial average percent slipped points monday,0.87,0.89,0.76
"The injured were taken to hospitals in Jefferson City and Columbia, a college town about 30 miles to the north.","The injured were taken to hospitals in Jefferson City and Columbia, about 48km north; their conditions were not immediately available.",4.0,the injured were taken to hospitals in jefferson city and columbia a college town about miles to the north,the injured were taken to hospitals in jefferson city and columbia about km north their conditions were not immediately available,injured taken hospitals jefferson city columbia college town miles north,injured taken hospitals jefferson city columbia km north conditions immediately available,0.9,0.93,0.88
"The dollar was at 117.85 yen against the Japanese currency, up 0.1 percent.","Against the Swiss franc the dollar was at 1.3289 francs, up 0.5 percent on the day.",1.33,the dollar was at yen against the japanese currency up percent,against the swiss franc the dollar was at francs up percent on the day,dollar yen japanese currency percent,swiss franc dollar francs percent day,0.91,0.93,0.76
"In addition to O'Connor, Rehnquist's majority opinion was joined by Justices David Souter, Ruth Bader Ginsburg, and Stephen Breyer.","Joining him in the majority opinion were Justices Sandra Day O'Connor, David H. Souter, Ruth Bader Ginsburg and Stephen G. Breyer.",3.6,in addition to o connor rehnquist s majority opinion was joined by justices david souter ruth bader ginsburg and stephen breyer,joining him in the majority opinion were justices sandra day o connor david h souter ruth bader ginsburg and stephen g breyer,addition connor rehnquist majority opinion joined justices david souter ruth bader ginsburg stephen breyer,joining majority opinion justices sandra day connor david h souter ruth bader ginsburg stephen g breyer,0.92,0.95,0.94
"Martin, 58, will be freed today after serving two thirds of his five-year sentence for the manslaughter of 16-year-old Fred Barras.",Martin served two thirds of a five-year sentence for the manslaughter of Barras and for wounding Fearon.,3.0,martin will be freed today after serving two thirds of his five year sentence for the manslaughter of year old fred barras,martin served two thirds of a five year sentence for the manslaughter of barras and for wounding fearon,martin freed today serving two thirds five year sentence manslaughter year old fred barras,martin served two thirds five year sentence manslaughter barras wounding fearon,0.91,0.93,0.9
"IDEC shareholders would own 50.5 percent of the stock of the combined company, and Biogen shareholders the remaining 49.5 percent.",The companies said Idec holders would own about 50.5 percent of the stock of the combined company.,3.0,idec shareholders would own percent of the stock of the combined company and biogen shareholders the remaining percent,the companies said idec holders would own about percent of the stock of the combined company,idec shareholders would percent stock combined company biogen shareholders remaining percent,companies said idec holders would percent stock combined company,0.93,0.95,0.87
"Nonetheless, the open-source guru insisted, ""This attack was wrong, and it was dangerous to our goals.""","""This attack was wrong, and it was dangerous to our goals,"" Raymond said.",3.5,nonetheless the open source guru insisted this attack was wrong and it was dangerous to our goals,this attack was wrong and it was dangerous to our goals raymond said,nonetheless open source guru insisted attack wrong dangerous goals,attack wrong dangerous goals raymond said,0.92,0.94,0.77
"Frank Quattrone, the former Credit Suisse First Boston technology investment-banking guru, reportedly pleaded not guilty Tuesday to charges of obstruction of justice and witness tampering.",NEW YORK -(Dow Jones)- Former star investment banker Frank Quattrone pleaded not guilty Tuesday to criminal charges of obstruction of justice and witness tampering.,4.0,frank quattrone the former credit suisse first boston technology investment banking guru reportedly pleaded not guilty tuesday to charges of obstruction of justice and witness tampering,new york dow jones former star investment banker frank quattrone pleaded not guilty tuesday to criminal charges of obstruction of justice and witness tampering,frank quattrone former credit suisse first boston technology investment banking guru reportedly pleaded guilty tuesday charges obstruction justice witness tampering,new york dow jones former star investment banker frank quattrone pleaded guilty tuesday criminal charges obstruction justice witness tampering,0.92,0.94,0.91
"The blue-chip Dow Jones industrial average .DJI fell 86.56 points, or 0.94 percent, to 9,109.99, after giving up more than 1 percent earlier.","The Dow Jones industrial average .DJI fell 79.43 points, or 0.86 percent, to 9,117.12 on Friday.",2.2,the blue chip dow jones industrial average dji fell points or percent to after giving up more than percent earlier,the dow jones industrial average dji fell points or percent to on friday,blue chip dow jones industrial average dji fell points percent giving percent earlier,dow jones industrial average dji fell points percent friday,0.89,0.9,0.91
"The Dow Jones industrial average ended the day down 10.89 at 9,837.94, after advancing 111.04 Wednesday.","The Dow Jones industrial average fell 10.89 points, or 0.11 percent, to 9,837.94.",3.4,the dow jones industrial average ended the day down at after advancing wednesday,the dow jones industrial average fell points or percent to,dow jones industrial average ended day advancing wednesday,dow jones industrial average fell points percent,0.81,0.82,0.79
Perry has since called two special legislative sessions to try force the redistricting plan through.,"Since then, Texas Gov. Rick Perry has called two special sessions trying to push the measure through.",3.5,perry has since called two special legislative sessions to try force the redistricting plan through,since then texas gov rick perry has called two special sessions trying to push the measure through,perry since called two special legislative sessions try force redistricting plan,since texas gov rick perry called two special sessions trying push measure,0.91,0.91,0.84
"The agency will ""consider as timely any tax returns or payments due"" Aug. 15 if they are submitted by Aug. 22.",The agency said it would consider as timely any tax returns or payments due from Friday through Aug. 22 if they are completed by Aug. 22.,4.25,the agency will consider as timely any tax returns or payments due aug if they are submitted by aug,the agency said it would consider as timely any tax returns or payments due from friday through aug if they are completed by aug,agency consider timely tax returns payments due aug submitted aug,agency said would consider timely tax returns payments due friday aug completed aug,0.96,0.97,0.94
Democrats currently hold a 17-15 advantage in the state's congressional delegation.,The Texas congressional delegation now is 17-15 Democratic.,2.6,democrats currently hold a advantage in the state s congressional delegation,the texas congressional delegation now is democratic,democrats currently hold advantage state congressional delegation,texas congressional delegation democratic,0.74,0.85,0.75
"Chaudhry was released 56 days later and the Fiji military installed an all-indigenous government led by Qarase, who won democratic elections in September 2001.","The Fijian military installed an all-indigenous government led by Mr Qarase, who won democratic elections in September 2001.",3.0,chaudhry was released days later and the fiji military installed an all indigenous government led by qarase who won democratic elections in september,the fijian military installed an all indigenous government led by mr qarase who won democratic elections in september,chaudhry released days later fiji military installed indigenous government led qarase democratic elections september,fijian military installed indigenous government led mr qarase democratic elections september,0.94,0.95,0.91
New legit download service launches with PC users in mind.,BuyMusic is the first subscription-free paid download music service for PC users.,2.4,new legit download service launches with pc users in mind,buymusic is the first subscription free paid download music service for pc users,new legit download service launches pc users mind,buymusic first subscription free paid download music service pc users,0.81,0.82,0.82
"The 30-year bond US30YT=RR rose 22/32 for a yield of 4.31 percent, versus 4.35 percent at Wednesday's close.","The 30-year bond US30YT=RR grew 1-3/32 for a yield of 4.30 percent, down from 4.35 percent late Wednesday.",3.8,the year bond us yt rr rose for a yield of percent versus percent at wednesday s close,the year bond us yt rr grew for a yield of percent down from percent late wednesday,year bond us yt rr rose yield percent versus percent wednesday close,year bond us yt rr grew yield percent percent late wednesday,0.93,0.95,0.94
"Last week, his lawyers asked Gov. Mark R. Warner to grant clemency, but the governor declined to intervene.","Last week, his lawyers asked Warner to grant clemency under certain conditions that would have lead to a new sentencing hearing.",3.0,last week his lawyers asked gov mark r warner to grant clemency but the governor declined to intervene,last week his lawyers asked warner to grant clemency under certain conditions that would have lead to a new sentencing hearing,last week lawyers asked gov mark r warner grant clemency governor declined intervene,last week lawyers asked warner grant clemency certain conditions would lead new sentencing hearing,0.84,0.88,0.79
Gov. Linda Lingle and members of her staff were at the Navy base and watched the launch.,Gov. Linda Lingle and other dignitaries are scheduled to be at the base to watch the launch.,3.5,gov linda lingle and members of her staff were at the navy base and watched the launch,gov linda lingle and other dignitaries are scheduled to be at the base to watch the launch,gov linda lingle members staff navy base watched launch,gov linda lingle dignitaries scheduled base watch launch,0.89,0.89,0.82
"The best the investigators can do is nitpick about the process and substance of isolated business decisions ... and question his competence as a manager.""","Ebbers' lawyer, Reid Weingarten, said despite the thorough investigation, ""the best the investigators can do is nitpick about the process and substance of isolated business decisions.""",3.5,the best the investigators can do is nitpick about the process and substance of isolated business decisions and question his competence as a manager,ebbers lawyer reid weingarten said despite the thorough investigation the best the investigators can do is nitpick about the process and substance of isolated business decisions,best investigators nitpick process substance isolated business decisions question competence manager,ebbers lawyer reid weingarten said despite thorough investigation best investigators nitpick process substance isolated business decisions,0.92,0.96,0.87
"The Justice Department filed suit Thursday against the state of Mississippi for failing to end what federal officials call ""disturbing"" abuse of juveniles and ""unconscionable"" conditions at two state-run facilities.","The Justice Department filed a civil rights lawsuit Thursday against the state of Mississippi, alleging abuse of juvenile offenders at two state-run facilities.",3.75,the justice department filed suit thursday against the state of mississippi for failing to end what federal officials call disturbing abuse of juveniles and unconscionable conditions at two state run facilities,the justice department filed a civil rights lawsuit thursday against the state of mississippi alleging abuse of juvenile offenders at two state run facilities,justice department filed suit thursday state mississippi failing end federal officials call disturbing abuse juveniles unconscionable conditions two state run facilities,justice department filed civil rights lawsuit thursday state mississippi alleging abuse juvenile offenders two state run facilities,0.91,0.93,0.91
The Chelsea defender Marcel Desailly has been the latest to speak out.,"Marcel Desailly, the France captain and Chelsea defender, believes the latter is true.",2.25,the chelsea defender marcel desailly has been the latest to speak out,marcel desailly the france captain and chelsea defender believes the latter is true,chelsea defender marcel desailly latest speak,marcel desailly france captain chelsea defender believes latter true,0.82,0.84,0.8
She was the only woman in her unit and a member of Teamsters Local 995.,She was the only woman employed as a warehouse worker and heavy equipment operator and the only woman in her Teamsters local.,3.25,she was the only woman in her unit and a member of teamsters local,she was the only woman employed as a warehouse worker and heavy equipment operator and the only woman in her teamsters local,woman unit member teamsters local,woman employed warehouse worker heavy equipment operator woman teamsters local,0.92,0.94,0.79
"Special police detained Khodorkovsky early on Saturday in the Siberian city of Novosibirsk, where his plane had made a refuelling stop.",Police detained Khodorkovsky early on Saturday when his jet made a refueling stop in the Siberian city of Novosibirsk.,4.8,special police detained khodorkovsky early on saturday in the siberian city of novosibirsk where his plane had made a refuelling stop,police detained khodorkovsky early on saturday when his jet made a refueling stop in the siberian city of novosibirsk,special police detained khodorkovsky early saturday siberian city novosibirsk plane made refuelling stop,police detained khodorkovsky early saturday jet made refueling stop siberian city novosibirsk,0.97,0.97,0.96
"Sony Ericsson also said it would shut down its GSM/UMTS R&D center in Munich, Germany, to increase profitability.","Sony Ericsson also said it plans to close its R&D site in Munich, Germany, for GSM and UMTS handsets.",3.8,sony ericsson also said it would shut down its gsm umts r d center in munich germany to increase profitability,sony ericsson also said it plans to close its r d site in munich germany for gsm and umts handsets,sony ericsson also said would shut gsm umts r center munich germany increase profitability,sony ericsson also said plans close r site munich germany gsm umts handsets,0.88,0.94,0.91
But the country is scrambling to prevent it spreading to the vast countryside where most of its 1.3 billion people live.,"China is scrambling to stop the disease from spreading to the countryside, where most of its 1.3 billion people live.",3.4,but the country is scrambling to prevent it spreading to the vast countryside where most of its billion people live,china is scrambling to stop the disease from spreading to the countryside where most of its billion people live,country scrambling prevent spreading vast countryside billion people live,china scrambling stop disease spreading countryside billion people live,0.96,0.97,0.89
Kansas Department of Health and Environment records show there were 88 abortions performed on girls age 14 and younger last year.,"Statistics from the Kansas Department of Health and Environment show that 11,844 abortions were performed in the state last year.",2.0,kansas department of health and environment records show there were abortions performed on girls age and younger last year,statistics from the kansas department of health and environment show that abortions were performed in the state last year,kansas department health environment records show abortions performed girls age younger last year,statistics kansas department health environment show abortions performed state last year,0.91,0.92,0.9
"""The discovery that the MAP bug is present in the vast majority of Crohn's sufferers means it is almost certainly causing the intestinal inflammation,"" it said in a statement.",The researchers say that the fact the MAP bug is present in the vast majority of Crohns sufferers means it is almost certainly causing the intestinal inflammation.,4.6,the discovery that the map bug is present in the vast majority of crohn s sufferers means it is almost certainly causing the intestinal inflammation it said in a statement,the researchers say that the fact the map bug is present in the vast majority of crohns sufferers means it is almost certainly causing the intestinal inflammation,discovery map bug present vast majority crohn sufferers means almost certainly causing intestinal inflammation said statement,researchers say fact map bug present vast majority crohns sufferers means almost certainly causing intestinal inflammation,0.97,0.98,0.96
"The life expectancy for boys born in 2001 was 74.4 years, up two years since 1990.","According to the report, average life expectancy has increased by nearly two years since 1990.",3.5,the life expectancy for boys born in was years up two years since,according to the report average life expectancy has increased by nearly two years since,life expectancy boys born years two years since,according report average life expectancy increased nearly two years since,0.87,0.85,0.79
"For the full 12-month period, high-speed cable modem connections increased by 49 percent.","For the full year period ending June 30, 2003, high-speed lines increased by 45 percent.",3.33,for the full month period high speed cable modem connections increased by percent,for the full year period ending june high speed lines increased by percent,full month period high speed cable modem connections increased percent,full year period ending june high speed lines increased percent,0.84,0.91,0.86
We believe the report is fully consistent with what the courts have ruled ... that the department's actions are fully within the law.,Comstock said several federal courts have ruled that the detentions are fully within the law.,2.67,we believe the report is fully consistent with what the courts have ruled that the department s actions are fully within the law,comstock said several federal courts have ruled that the detentions are fully within the law,believe report fully consistent courts ruled department actions fully within law,comstock said several federal courts ruled detentions fully within law,0.91,0.91,0.81
"Indeed, Mr. Weill, a self-described workaholic, said he planned to remain very involved in the company.","Still, Mr. Weill will remain very much a power at the company.",3.2,indeed mr weill a self described workaholic said he planned to remain very involved in the company,still mr weill will remain very much a power at the company,indeed mr weill self described workaholic said planned remain involved company,still mr weill remain much power company,0.84,0.87,0.75
"Gregory Parseghian, a former investment banker, was appointed chief executive.",Greg Parseghian was appointed the new chief executive.,3.8,gregory parseghian a former investment banker was appointed chief executive,greg parseghian was appointed the new chief executive,gregory parseghian former investment banker appointed chief executive,greg parseghian appointed new chief executive,0.88,0.88,0.86
"The report cites the marriage of the alleged operational commander of the Bali bombings, Mukhlas, to Farida, a ""highly cosmopolitan and well-educated young woman"".","The report cites the marriage of the alleged operational commander of the Bali bombings, Mukhlas, as an example of how JI uses marriage to grow.",3.4,the report cites the marriage of the alleged operational commander of the bali bombings mukhlas to farida a highly cosmopolitan and well educated young woman,the report cites the marriage of the alleged operational commander of the bali bombings mukhlas as an example of how ji uses marriage to grow,report cites marriage alleged operational commander bali bombings mukhlas farida highly cosmopolitan well educated young woman,report cites marriage alleged operational commander bali bombings mukhlas example ji uses marriage grow,0.92,0.94,0.82
The Cradle of Liberty Council isn't the first one to buck the national group's stance.,Philadelphia's council is not the first to defy the national policy.,3.4,the cradle of liberty council isn t the first one to buck the national group s stance,philadelphia s council is not the first to defy the national policy,cradle liberty council first one buck national group stance,philadelphia council first defy national policy,0.85,0.91,0.74
"""It''s absurd,"" Funny Cide's trainer Barclay Tagg said.","Meanwhile, Funny Cide's trainer, Barclay Tagg, called the allegations ""ridiculous.""",3.6,it s absurd funny cide s trainer barclay tagg said,meanwhile funny cide s trainer barclay tagg called the allegations ridiculous,absurd funny cide trainer barclay tagg said,meanwhile funny cide trainer barclay tagg called allegations ridiculous,0.62,0.88,0.91
"Last year, Cuban officials said none of nearly two dozen nominated Cuban musicians received U.S. visas on time to attend the Grammys in Los Angeles.",Cuban officials said that last year none of about two dozen nominated Cuban musicians received U.S. visas in time to attend the Latin Grammys.,3.8,last year cuban officials said none of nearly two dozen nominated cuban musicians received u s visas on time to attend the grammys in los angeles,cuban officials said that last year none of about two dozen nominated cuban musicians received u s visas in time to attend the latin grammys,last year cuban officials said none nearly two dozen nominated cuban musicians received u visas time attend grammys los angeles,cuban officials said last year none two dozen nominated cuban musicians received u visas time attend latin grammys,0.95,0.98,0.98
The American conservatives are clearly in the minority within the Episcopal Church.,The letter indicates the Vatican's interest in bolstering conservatives within the Episcopal Church.,1.8,the american conservatives are clearly in the minority within the episcopal church,the letter indicates the vatican s interest in bolstering conservatives within the episcopal church,american conservatives clearly minority within episcopal church,letter indicates vatican interest bolstering conservatives within episcopal church,0.9,0.91,0.82
"The New York senator's new book, ""Living History,"" appears a certain bestseller.","Hillary Clinton, the New York senator and former first lady, has a book out Monday titled Living History.",3.2,the new york senator s new book living history appears a certain bestseller,hillary clinton the new york senator and former first lady has a book out monday titled living history,new york senator new book living history appears certain bestseller,hillary clinton new york senator former first lady book monday titled living history,0.79,0.88,0.83
"""Canada is a small country, and it needs companies like this, deals like this.""","A passionate nationalist, Mr. D'Alessandro said: ""Canada is a small country, and we need more companies like this.""",3.0,canada is a small country and it needs companies like this deals like this,a passionate nationalist mr d alessandro said canada is a small country and we need more companies like this,canada small country needs companies like deals like,passionate nationalist mr alessandro said canada small country need companies like,0.9,0.91,0.83
Police official S.K. Tonapi told Reuters at least 40 people had been killed and more than 100 wounded.,State interior ministry spokesman Vasant Pitke told Reuters that at least 42 people had been killed and 112 injured.,1.8,police official s k tonapi told reuters at least people had been killed and more than wounded,state interior ministry spokesman vasant pitke told reuters that at least people had been killed and injured,police official k tonapi told reuters least people killed wounded,state interior ministry spokesman vasant pitke told reuters least people killed injured,0.9,0.9,0.85
"""Jeremy's a good guy,"" Barber said, adding: ""Jeremy is living the dream life of the New York athlete.","He also said Shockey is ""living the dream life of a New York athlete.",2.75,jeremy s a good guy barber said adding jeremy is living the dream life of the new york athlete,he also said shockey is living the dream life of a new york athlete,jeremy good guy barber said adding jeremy living dream life new york athlete,also said shockey living dream life new york athlete,0.87,0.94,0.89
"But Mitsubishi Tokyo Financial (JP:8306: news, chart, profile) declined 3,000 yen, or 0.65 percent, to 456,000 yen.","Sumitomo Mitsui Financial (JP:8316: news, chart, profile) was down 2.5 percent at 198,000 yen.",1.6,but mitsubishi tokyo financial jp news chart profile declined yen or percent to yen,sumitomo mitsui financial jp news chart profile was down percent at yen,mitsubishi tokyo financial jp news chart profile declined yen percent yen,sumitomo mitsui financial jp news chart profile percent yen,0.85,0.89,0.92
"About 1,557 genes on chromosome 6 are thought to be functional.","The remaining 1,557 genes are believed to be all functional.",2.75,about genes on chromosome are thought to be functional,the remaining genes are believed to be all functional,genes chromosome thought functional,remaining genes believed functional,0.86,0.86,0.76
"In the second quarter, Anadarko now expects volume of 46 million BOE, down from 48 million BOE.",Production for the second quarter was cut to 46 million barrels from 48 million barrels.,3.25,in the second quarter anadarko now expects volume of million boe down from million boe,production for the second quarter was cut to million barrels from million barrels,second quarter anadarko expects volume million boe million boe,production second quarter cut million barrels million barrels,0.89,0.89,0.81
"U.S. troops encountered no resistance during the five-hour sweep near Tikrit, Saddam Hussein's hometown and the center of a region of Baath Party supporters.",Tikrit is Saddam Hussein's hometown and the region around it is known as a hotbed of Baath Party supporters and former high-ranking Iraqi military officials.,2.25,u s troops encountered no resistance during the five hour sweep near tikrit saddam hussein s hometown and the center of a region of baath party supporters,tikrit is saddam hussein s hometown and the region around it is known as a hotbed of baath party supporters and former high ranking iraqi military officials,u troops encountered resistance five hour sweep near tikrit saddam hussein hometown center region baath party supporters,tikrit saddam hussein hometown region around known hotbed baath party supporters former high ranking iraqi military officials,0.88,0.9,0.83
"Miodrag Zivkovic, of the Liberal Alliance of Montenegro, won 31 percent of the vote while the independent Dragan Hajdukovic got four percent.","Miodrag Zivkovic, the leader of the pro-independence opposition Liberal Alliance, came in second with 31 percent of the vote.",3.0,miodrag zivkovic of the liberal alliance of montenegro won percent of the vote while the independent dragan hajdukovic got four percent,miodrag zivkovic the leader of the pro independence opposition liberal alliance came in second with percent of the vote,miodrag zivkovic liberal alliance montenegro percent vote independent dragan hajdukovic got four percent,miodrag zivkovic leader pro independence opposition liberal alliance came second percent vote,0.92,0.92,0.81
"In the year-ago period, Pearson posted a 26 million pre-tax profit.",A year ago the firm posted a profit of 26 million pounds.,3.18,in the year ago period pearson posted a million pre tax profit,a year ago the firm posted a profit of million pounds,year ago period pearson posted million pre tax profit,year ago firm posted profit million pounds,0.85,0.89,0.84
"Through Thursday, Oracle said 34.75 million PeopleSoft shares had been tendered.","Some 34.7 million shares have been tendered, Oracle said in a statement.",3.75,through thursday oracle said million peoplesoft shares had been tendered,some million shares have been tendered oracle said in a statement,thursday oracle said million peoplesoft shares tendered,million shares tendered oracle said statement,0.82,0.86,0.87
Yucaipa owned Dominick's before selling the chain to Safeway in 1998 for $2.5 billion.,Yucaipa bought Dominick's in 1995 for $693 million and sold it to Safeway for $1.8 billion in 1998.,2.6,yucaipa owned dominick s before selling the chain to safeway in for billion,yucaipa bought dominick s in for million and sold it to safeway for billion in,yucaipa owned dominick selling chain safeway billion,yucaipa bought dominick million sold safeway billion,0.9,0.93,0.86
"Graves reported from Albuquerque, Villafranca from Austin and Ratcliffe from Laredo.",Pete Slover reported from Laredo and Gromer Jeffers from Albuquerque.,1.25,graves reported from albuquerque villafranca from austin and ratcliffe from laredo,pete slover reported from laredo and gromer jeffers from albuquerque,graves reported albuquerque villafranca austin ratcliffe laredo,pete slover reported laredo gromer jeffers albuquerque,0.84,0.89,0.79
"A 25 percent increase would raise undergraduate tuition to about $5,247 annually, including miscellaneous, campus-based fees.","The 25 percent hike takes annual UC undergraduate tuition to $4,794 and graduate fees to $5,019.",2.5,a percent increase would raise undergraduate tuition to about annually including miscellaneous campus based fees,the percent hike takes annual uc undergraduate tuition to and graduate fees to,percent increase would raise undergraduate tuition annually including miscellaneous campus based fees,percent hike takes annual uc undergraduate tuition graduate fees,0.83,0.87,0.8
Authorities said the scientist properly quarantined himself at home after he developed SARS symptoms Dec. 10.,"The scientist also quarantined himself at home as soon as he developed SARS symptoms, officials said.",4.2,authorities said the scientist properly quarantined himself at home after he developed sars symptoms dec,the scientist also quarantined himself at home as soon as he developed sars symptoms officials said,authorities said scientist properly quarantined home developed sars symptoms dec,scientist also quarantined home soon developed sars symptoms officials said,0.87,0.92,0.91
The support will come as a free software upgrade called WebVPN for current customers that have support contracts.,The upgrade will be available as a free download for current customers with SmarNet support in January 2004.,2.6,the support will come as a free software upgrade called webvpn for current customers that have support contracts,the upgrade will be available as a free download for current customers with smarnet support in january,support come free software upgrade called webvpn current customers support contracts,upgrade available free download current customers smarnet support january,0.89,0.91,0.83
Hilsenrath and Klarman each were indicted on three counts of securities fraud.,Klarman was charged with 16 counts of wire fraud.,1.4,hilsenrath and klarman each were indicted on three counts of securities fraud,klarman was charged with counts of wire fraud,hilsenrath klarman indicted three counts securities fraud,klarman charged counts wire fraud,0.85,0.84,0.81
The new sensor -- dubbed CANARY for ''cellular analysis and notification of antigen risks and yields'' -- hijacks this natural process with two important changes.,"The team has named the sensor Canary, for cellular analysis and notification of antigen risks and yields.",3.6,the new sensor dubbed canary for cellular analysis and notification of antigen risks and yields hijacks this natural process with two important changes,the team has named the sensor canary for cellular analysis and notification of antigen risks and yields,new sensor dubbed canary cellular analysis notification antigen risks yields hijacks natural process two important changes,team named sensor canary cellular analysis notification antigen risks yields,0.9,0.94,0.85
"One, Fort Carson-based Sgt. Ernest Bucklew, 33, had been on his way home to attend his mother's funeral in Pennsylvania.","Sgt. Ernest Bucklew, 33, was coming home from Iraq to bury his mother in Pennsylvania.",3.0,one fort carson based sgt ernest bucklew had been on his way home to attend his mother s funeral in pennsylvania,sgt ernest bucklew was coming home from iraq to bury his mother in pennsylvania,one fort carson based sgt ernest bucklew way home attend mother funeral pennsylvania,sgt ernest bucklew coming home iraq bury mother pennsylvania,0.89,0.9,0.85
Waksal has pleaded guilty to securities fraud and is to be sentenced next week.,"Waksal pleaded guilty to insider trading charges last year, and he is scheduled to be sentenced June 10.",3.5,waksal has pleaded guilty to securities fraud and is to be sentenced next week,waksal pleaded guilty to insider trading charges last year and he is scheduled to be sentenced june,waksal pleaded guilty securities fraud sentenced next week,waksal pleaded guilty insider trading charges last year scheduled sentenced june,0.93,0.94,0.88
The device plays Internet radio streams and comes with a 30-day trial of RealNetworks' Rhapsody music service.,The product also streams Internet radio and comes with a 30-day free trial for RealNetworks' Rhapsody digital music subscription service.,5.0,the device plays internet radio streams and comes with a day trial of realnetworks rhapsody music service,the product also streams internet radio and comes with a day free trial for realnetworks rhapsody digital music subscription service,device plays internet radio streams comes day trial realnetworks rhapsody music service,product also streams internet radio comes day free trial realnetworks rhapsody digital music subscription service,0.95,0.95,0.93
"The dollar fell as low as $1.1624 per euro from $1.1486 on Friday, and traded at $1.1594 at 10:15 a.m. in London.",The dollar dropped to $1.1564 per euro at 7:30 a.m. in London from $1.1486 on Friday.,3.0,the dollar fell as low as per euro from on friday and traded at at a m in london,the dollar dropped to per euro at a m in london from on friday,dollar fell low per euro friday traded london,dollar dropped per euro london friday,0.92,0.95,0.93
"During the hearing, Morales expressed ""sincere regrets and remorse"" for his actions.","Morales, who pleaded guilty in July, expressed ""sincere regret and remorse"" for his crimes.",3.8,during the hearing morales expressed sincere regrets and remorse for his actions,morales who pleaded guilty in july expressed sincere regret and remorse for his crimes,hearing morales expressed sincere regrets remorse actions,morales pleaded guilty july expressed sincere regret remorse crimes,0.87,0.89,0.84
"Site Finder has been visited 65 million times since its introduction, Galvin said.","Through Sunday, Sept. 21, Site Finder has been visited over 65 million times by Internet users.",3.8,site finder has been visited million times since its introduction galvin said,through sunday sept site finder has been visited over million times by internet users,site finder visited million times since introduction galvin said,sunday sept site finder visited million times internet users,0.87,0.86,0.8
"According to SunnComm's Peter Jacobs, ""MediaMax performs exactly as 'advertised' to the companies who purchased it.","""MediaMax performs EXACTLY as ""advertised"" to the companies who purchased it,"" Jacobs said in the statement.",4.22,according to sunncomm s peter jacobs mediamax performs exactly as advertised to the companies who purchased it,mediamax performs exactly as advertised to the companies who purchased it jacobs said in the statement,according sunncomm peter jacobs mediamax performs exactly advertised companies purchased,mediamax performs exactly advertised companies purchased jacobs said statement,0.9,0.94,0.88
He was tracked to Atlanta where he was arrested on Tuesday night.,"He was arrested in Atlanta, Georgia, on Monday night by police acting on a tip-off.",2.5,he was tracked to atlanta where he was arrested on tuesday night,he was arrested in atlanta georgia on monday night by police acting on a tip off,tracked atlanta arrested tuesday night,arrested atlanta georgia monday night police acting tip,0.84,0.86,0.84
